,leiden_resolution_1.5_treg,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
1,1,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
2,2,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
3,3,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
4,4,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
5,5,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
6,6,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
7,7,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
8,8,KLRB1+ memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
9,9,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
10,10,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
11,11,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
12,12,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
13,13,Memory CD8 Treg,T cell,Yes,Treg,Yes,Yes
14,14,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
15,15,KLRB1+ memory CD8 Treg,T cell,Yes,Treg,Yes,Yes
16,16,GZMK+ memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
17,17,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
18,18,Naive CD4 Treg,T cell,Yes,Treg,Yes,Yes
19,19,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
20,20,Memory CD4 Treg,T cell,Yes,Treg,Yes,Yes
